architecture,traffic_type,traffic_variant,seed,x_size,y_size,block_w,block_h,dense_enter_threshold,clock_cycles_injection,clock_cycles_total,offered_events_per_cycle,generated_events,captured_events,transmitted_events,capture_loss,undrained_at_end,total_loss,event_loss_rate,successful_handshakes,cycles_per_handshake,throughput_injection_window,throughput_full_run,average_latency_cycles,maximum_latency_cycles,p95_latency_cycles,sparse_packets,dense_packets,total_logical_packets,events_in_sparse_packets,events_in_dense_packets,average_events_per_packet,average_dense_packet_occupancy,minimum_dense_packet_occupancy,maximum_dense_packet_occupancy,logical_bits_transmitted,logical_bits_per_delivered_event,sparse_packet_bits,dense_packet_bits,cycles_dense_eligible,fraction_events_sent_dense,output_req_high_cycles,output_utilization,ack_delay_cycles,notes,result_file
adaptive,uniform,rate0.10,1,16,16,4,4,3,5000,5000,0.100000,487,487,487,0,0,0,0.00000000,487,10.266940,0.09740000,0.09740000,2.367556,7,4,487,0,487,487,0,1.000000,0.000000,0,0,4870,10.000000,10,37,0,0.00000000,487,0.09740000,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=487;packet_w=37,results/csv/runs/stage3/stage3_uniform_low_t3.csv
adaptive,uniform,rate0.30,1,16,16,4,4,3,5000,5011,0.300000,1484,1475,1475,9,0,9,0.00606469,1460,3.432192,0.29420000,0.29435242,7.775593,86,24,1453,7,1460,1453,22,1.010274,3.142857,3,4,14789,10.026441,10,37,20,0.01491525,1460,0.29135901,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=1484;packet_w=37,results/csv/runs/stage3/stage3_uniform_near_sat_t3.csv
adaptive,uniform,rate0.80,1,16,16,4,4,3,5000,5071,0.800000,4010,3761,3761,249,0,249,0.06209476,1690,3.000592,0.74740000,0.74166831,23.313746,232,73,694,996,1690,694,3067,2.225444,3.079317,3,5,43792,11.643712,10,37,2972,0.81547461,1690,0.33326760,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=4010;packet_w=37,results/csv/runs/stage3/stage3_uniform_high_t3.csv
adaptive,hotspot,4x4_p80_rate0.40,1,16,16,4,4,3,5000,5010,0.400000,2030,1798,1798,232,0,232,0.11428571,1625,3.083077,0.35900000,0.35888224,9.542269,79,28,1539,86,1625,1539,259,1.106462,3.011628,3,4,18572,10.329255,10,37,266,0.14404894,1625,0.32435130,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=2030;packet_w=37,results/csv/runs/stage3/stage3_hotspot_4x4_t3.csv
adaptive,burst,burst_rate2.0_dur500,1,16,16,4,4,3,5000,5000,0.209000,1032,880,880,152,0,152,0.14728682,217,23.041475,0.17600000,0.17600000,24.323864,84,48,47,170,217,47,833,4.055300,4.900000,3,10,6760,7.681818,10,37,512,0.94659091,217,0.04340000,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=1032;packet_w=37,results/csv/runs/stage3/stage3_burst_rate2_dur500_t3.csv
adaptive,locality,region4x4_rate0.20,1,16,16,4,4,3,5000,5005,0.200000,988,961,961,27,0,27,0.02732794,961,5.208117,0.19180000,0.19200799,3.183143,20,7,961,0,961,961,0,1.000000,0.000000,0,0,9610,10.000000,10,37,0,0.00000000,961,0.19200799,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=988;packet_w=37,results/csv/runs/stage3/stage3_locality_4x4_t3.csv
adaptive,uniform,rate0.10,1,16,16,4,4,4,5000,5000,0.100000,487,487,487,0,0,0,0.00000000,487,10.266940,0.09740000,0.09740000,2.367556,7,4,487,0,487,487,0,1.000000,0.000000,0,0,4870,10.000000,10,37,0,0.00000000,487,0.09740000,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=487;packet_w=37,results/csv/runs/stage3/stage3_uniform_low_t4.csv
adaptive,uniform,rate0.30,1,16,16,4,4,4,5000,5011,0.300000,1484,1471,1471,13,0,13,0.00876011,1468,3.413488,0.29340000,0.29355418,9.211421,118,30,1467,1,1468,1467,4,1.002044,4.000000,4,4,14707,9.997961,10,37,3,0.00271924,1468,0.29295550,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=1484;packet_w=37,results/csv/runs/stage3/stage3_uniform_near_sat_t4.csv
adaptive,uniform,rate0.80,1,16,16,4,4,4,5000,5083,0.800000,4010,3628,3628,382,0,382,0.09526185,1694,3.000590,0.72000000,0.71375172,35.058434,322,109,1060,634,1694,1060,2568,2.141677,4.050473,4,5,34058,9.387541,10,37,1861,0.70782800,1694,0.33326776,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=4010;packet_w=37,results/csv/runs/stage3/stage3_uniform_high_t4.csv
adaptive,hotspot,4x4_p80_rate0.40,1,16,16,4,4,4,5000,5017,0.400000,2030,1683,1683,347,0,347,0.17093596,1647,3.046145,0.33540000,0.33545944,13.531788,161,41,1635,12,1647,1635,48,1.021858,4.000000,4,4,16794,9.978610,10,37,36,0.02852050,1647,0.32828383,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=2030;packet_w=37,results/csv/runs/stage3/stage3_hotspot_4x4_t4.csv
