architecture,traffic_type,traffic_variant,seed,x_size,y_size,clock_cycles_injection,clock_cycles_total,offered_events_per_cycle,generated_events,captured_events,transmitted_events,capture_loss,undrained_at_end,total_loss,event_loss_rate,successful_handshakes,cycles_per_handshake,throughput_injection_window,throughput_full_run,average_latency_cycles,maximum_latency_cycles,p95_latency_cycles,bits_transmitted,bits_per_event,output_req_high_cycles,output_utilization,ack_delay_cycles,notes,source_file
baseline,burst,burst_rate1.0_dur200,1,16,16,5000,5000,0.0478,239,200,200,39,0,39,0.16317992,200,25.0,0.04,0.04,122.66,441,365,1800,9.0,200,0.04,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=239,results/csv/runs/stage2/burst_burst_rate1.0_dur200_rate0p010_seed1_ack0.csv
baseline,burst,burst_rate2.0_dur200,1,16,16,5000,5000,0.0878,439,277,277,162,0,162,0.3690205,277,18.050542,0.0554,0.0554,254.281588,684,618,2493,9.0,277,0.0554,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=439,results/csv/runs/stage2/burst_burst_rate2.0_dur200_rate0p010_seed1_ack0.csv
baseline,burst,burst_rate2.0_dur500,1,16,16,5000,5000,0.2064,1032,407,407,625,0,625,0.60562016,407,12.285012,0.0814,0.0814,366.267813,1100,889,3663,9.0,407,0.0814,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=1032,results/csv/runs/stage2/burst_burst_rate2.0_dur500_rate0p010_seed1_ack0.csv
baseline,burst,burst_rate4.0_dur200,1,16,16,5000,5000,0.1678,839,323,323,516,0,516,0.61501788,323,15.479876,0.0646,0.0646,328.065015,839,747,2907,9.0,323,0.0646,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=839,results/csv/runs/stage2/burst_burst_rate4.0_dur200_rate0p010_seed1_ack0.csv
baseline,hotspot,4x4_p80_rate0.05,1,16,16,5000,5000,0.0482,241,241,241,0,0,0,0.0,241,20.746888,0.0482,0.0482,2.116183,4,3,2169,9.0,241,0.0482,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=241,results/csv/runs/stage2/hotspot_4x4_p80_rate0.05_rate0p050_seed1_ack0.csv
baseline,hotspot,4x4_p80_rate0.05,2,16,16,5000,5000,0.0534,267,266,266,1,0,1,0.00374532,266,18.796992,0.0532,0.0532,2.285714,9,4,2394,9.0,266,0.0532,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=267,results/csv/runs/stage2/hotspot_4x4_p80_rate0.05_rate0p050_seed2_ack0.csv
baseline,hotspot,4x4_p80_rate0.05,3,16,16,5000,5000,0.0504,252,250,250,2,0,2,0.00793651,250,20.0,0.05,0.05,2.184,6,3,2250,9.0,250,0.05,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=252,results/csv/runs/stage2/hotspot_4x4_p80_rate0.05_rate0p050_seed3_ack0.csv
baseline,hotspot,4x4_p80_rate0.10,1,16,16,5000,5000,0.0984,492,488,488,4,0,4,0.00813008,488,10.245902,0.0976,0.0976,2.381148,10,4,4392,9.0,488,0.0976,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=492,results/csv/runs/stage2/hotspot_4x4_p80_rate0.10_rate0p100_seed1_ack0.csv
baseline,hotspot,4x4_p80_rate0.10,2,16,16,5000,5000,0.107,535,533,533,2,0,2,0.00373832,533,9.380863,0.1066,0.1066,2.444653,10,4,4797,9.0,533,0.1066,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=535,results/csv/runs/stage2/hotspot_4x4_p80_rate0.10_rate0p100_seed2_ack0.csv
baseline,hotspot,4x4_p80_rate0.10,3,16,16,5000,5000,0.0984,492,488,488,4,0,4,0.00813008,488,10.245902,0.0976,0.0976,2.383197,10,4,4392,9.0,488,0.0976,0,unexpected_output=0;duplicate_output=0;ack_without_req=0;trace_events=492,results/csv/runs/stage2/hotspot_4x4_p80_rate0.10_rate0p100_seed3_ack0.csv
