architecture,traffic_type,traffic_variant,trace_file,seed,x_size,y_size,block_w,block_h,dense_threshold,link_width,link_ready_policy,injection_cycles,total_cycles,offered_events_per_cycle,generated_events,delivered_events,capture_loss,transport_loss,undrained_events,total_loss,event_loss_rate,logical_packets,sparse_packets,dense_packets,events_in_sparse_packets,events_in_dense_packets,logical_bits,physical_link_beats,physical_bits,logical_bits_per_event,physical_bits_per_event,events_per_physical_beat,events_per_physical_bit,throughput_events_per_cycle,delivered_during_injection,average_latency,maximum_latency,p50_latency,p95_latency,p99_latency,link_active_cycles,link_stall_cycles,link_utilization,cycles_dense_eligible,average_dense_occupancy,minimum_dense_occupancy,maximum_dense_occupancy,dense_occ_0,dense_occ_1,dense_occ_2,dense_occ_3,dense_occ_4,dense_occ_5,dense_occ_6,dense_occ_7,dense_occ_8,dense_occ_9,dense_occ_10,dense_occ_11,dense_occ_12,dense_occ_13,dense_occ_14,dense_occ_15,dense_occ_16,baseline_payload_bits,adaptive_sparse_payload_bits,dense_payload_bits,baseline_frame_bits,adaptive_sparse_frame_bits,dense_frame_bits,baseline_physical_bits_per_packet,adaptive_sparse_physical_bits_per_packet,dense_physical_bits_per_packet,notes,result_file
adaptive_link,uniform,stage4_rate0.05,/home/yewon/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.05_rate0p050_seed1_ack0.trace,1,16,16,4,4,3,16,always,5000,5004,0.04820000,241,241,0,0,0,0,0.00000000,241,241,0,241,0,4338,482,7712,18.000000,32.000000,0.50000000,0.0312500000,0.04816147,240,4.041494,5,4,4,5,482,0,0.09632294,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=241;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=241;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_uniform_rate0p05_adaptive_l16_t3_always.csv
adaptive_link,uniform,stage4_rate0.10,/home/yewon/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.10_rate0p100_seed1_ack0.trace,1,16,16,4,4,3,16,always,5000,5000,0.09740000,487,487,0,0,0,0,0.00000000,487,487,0,487,0,8766,974,15584,18.000000,32.000000,0.50000000,0.0312500000,0.09740000,487,4.110883,7,4,5,5,974,0,0.19480000,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=487;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=487;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_uniform_rate0p10_adaptive_l16_t3_always.csv
adaptive_link,uniform,stage4_rate0.20,/home/yewon/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.20_rate0p200_seed1_ack0.trace,1,16,16,4,4,3,16,always,5000,5005,0.19760000,988,988,0,0,0,0,0.00000000,988,988,0,988,0,17784,1976,31616,18.000000,32.000000,0.50000000,0.0312500000,0.19740260,986,4.297571,9,4,5,7,1976,0,0.39480519,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=988;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=988;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_uniform_rate0p20_adaptive_l16_t3_always.csv
adaptive_link,uniform,stage4_rate0.30,/home/yewon/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.30_rate0p300_seed1_ack0.trace,1,16,16,4,4,3,16,always,5000,5005,0.29680000,1484,1483,1,0,0,1,0.00067385,1483,1483,0,1483,0,26694,2966,47456,18.000000,32.000000,0.50000000,0.0312500000,0.29630370,1480,4.753203,25,4,7,10,2966,0,0.59260739,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=1483;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=1484;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_uniform_rate0p30_adaptive_l16_t3_always.csv
adaptive_link,uniform,stage4_rate0.40,/home/yewon/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.40_rate0p400_seed1_ack0.trace,1,16,16,4,4,3,16,always,5000,5005,0.40040000,2002,1998,4,0,0,4,0.00199800,1991,1981,10,1981,17,36108,3992,63872,18.072072,31.967968,0.50050100,0.0312813126,0.39920080,1996,6.055055,46,5,13,21,3992,0,0.79760240,21,1.700000,1,3,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=1998;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=2002;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_uniform_rate0p40_adaptive_l16_t3_always.csv
adaptive_link,uniform,stage4_rate0.60,/home/yewon/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.60_rate0p600_seed1_ack0.trace,1,16,16,4,4,3,16,always,5000,5026,0.59440000,2972,2872,100,0,0,100,0.03364738,1804,391,1413,391,2481,70623,5021,80336,24.590181,27.972145,0.57199761,0.0357498506,0.57142857,2860,22.202994,77,21,42,48,5021,0,0.99900517,2499,1.755839,1,6,0,698,445,203,52,14,1,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=2872;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=2972;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_uniform_rate0p60_adaptive_l16_t3_always.csv
adaptive_link,uniform,stage4_rate0.80,/home/yewon/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.80_rate0p800_seed1_ack0.trace,1,16,16,4,4,3,16,always,5000,5031,0.80200000,4010,3761,249,0,0,249,0.06209476,1683,21,1662,21,3740,75168,5028,80448,19.986174,21.390056,0.74801114,0.0467506961,0.74756510,3738,26.417974,61,26,46,50,5028,0,0.99940370,4462,2.250301,1,8,0,509,566,350,160,58,15,3,1,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=3761;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=4010;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_uniform_rate0p80_adaptive_l16_t3_always.csv
adaptive_link,uniform,stage4_rate1.00,/home/yewon/SCA_AER/traces/generated/stage2/uniform_stage4_rate1.00_rate1p000_seed1_ack0.trace,1,16,16,4,4,3,16,always,5000,5042,1.00000000,5000,4600,400,0,0,400,0.08000000,1684,13,1671,13,4587,75429,5039,80624,16.397609,17.526957,0.91287954,0.0570549712,0.91233637,4573,27.745000,52,28,48,52,5039,0,0.99940500,4945,2.745063,1,8,0,342,455,423,267,121,49,13,1,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=4600;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=5000;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_uniform_rate1p00_adaptive_l16_t3_always.csv
adaptive_link,uniform,stage4_rate2.00,/home/yewon/SCA_AER/traces/generated/stage2/uniform_stage4_rate2.00_rate2p000_seed1_ack0.trace,1,16,16,4,4,3,16,always,5000,5044,2.00000000,10000,8386,1614,0,0,1614,0.16140000,1682,5,1677,5,8381,75555,5041,80656,9.009659,9.617935,1.66355882,0.1039724261,1.66256939,8333,29.890174,52,31,50,52,5041,0,0.99940523,5023,4.997615,1,13,0,30,118,231,303,345,286,221,91,34,13,3,1,1,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=8386;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=10000;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_uniform_rate2p00_adaptive_l16_t3_always.csv
adaptive_link,poisson,stage4_lambda0.20,/home/yewon/SCA_AER/traces/generated/stage2/poisson_stage4_lambda0.20_rate0p200_seed1_ack0.trace,1,16,16,4,4,3,16,always,5000,5000,0.20280000,1014,1013,1,0,0,1,0.00098619,1013,1013,0,1013,0,18234,2026,32416,18.000000,32.000000,0.50000000,0.0312500000,0.20260000,1013,4.561698,11,4,7,10,2026,0,0.40520000,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=1013;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=1014;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_poisson_lambda0p20_adaptive_l16_t3_always.csv
