architecture,traffic_type,traffic_variant,trace_file,seed,x_size,y_size,block_w,block_h,dense_threshold,link_width,link_ready_policy,injection_cycles,total_cycles,offered_events_per_cycle,generated_events,delivered_events,capture_loss,transport_loss,undrained_events,total_loss,event_loss_rate,logical_packets,sparse_packets,dense_packets,events_in_sparse_packets,events_in_dense_packets,logical_bits,physical_link_beats,physical_bits,logical_bits_per_event,physical_bits_per_event,events_per_physical_beat,events_per_physical_bit,throughput_events_per_cycle,delivered_during_injection,average_latency,maximum_latency,p50_latency,p95_latency,p99_latency,link_active_cycles,link_stall_cycles,link_utilization,cycles_dense_eligible,average_dense_occupancy,minimum_dense_occupancy,maximum_dense_occupancy,dense_occ_0,dense_occ_1,dense_occ_2,dense_occ_3,dense_occ_4,dense_occ_5,dense_occ_6,dense_occ_7,dense_occ_8,dense_occ_9,dense_occ_10,dense_occ_11,dense_occ_12,dense_occ_13,dense_occ_14,dense_occ_15,dense_occ_16,baseline_payload_bits,adaptive_sparse_payload_bits,dense_payload_bits,baseline_frame_bits,adaptive_sparse_frame_bits,dense_frame_bits,baseline_physical_bits_per_packet,adaptive_sparse_physical_bits_per_packet,dense_physical_bits_per_packet,notes,result_file
baseline_link,uniform,stage4_rate0.05,/home/hj/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.05_rate0p050_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5004,0.04820000,241,241,0,0,0,0,0.00000000,241,241,0,241,0,4097,482,7712,17.000000,32.000000,0.50000000,0.0312500000,0.04816147,240,4.041494,5,4,4,5,482,0,0.09632294,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=241;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=241;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_uniform_rate0p05_baseline_l16_t5_always.csv
adaptive_link,uniform,stage4_rate0.05,/home/hj/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.05_rate0p050_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5004,0.04820000,241,241,0,0,0,0,0.00000000,241,241,0,241,0,4338,482,7712,18.000000,32.000000,0.50000000,0.0312500000,0.04816147,240,4.041494,5,4,4,5,482,0,0.09632294,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=241;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=241;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_uniform_rate0p05_adaptive_l16_t5_always.csv
baseline_link,uniform,stage4_rate0.10,/home/hj/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.10_rate0p100_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5000,0.09740000,487,487,0,0,0,0,0.00000000,487,487,0,487,0,8279,974,15584,17.000000,32.000000,0.50000000,0.0312500000,0.09740000,487,4.110883,7,4,5,5,974,0,0.19480000,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=487;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=487;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_uniform_rate0p10_baseline_l16_t5_always.csv
adaptive_link,uniform,stage4_rate0.10,/home/hj/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.10_rate0p100_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5000,0.09740000,487,487,0,0,0,0,0.00000000,487,487,0,487,0,8766,974,15584,18.000000,32.000000,0.50000000,0.0312500000,0.09740000,487,4.110883,7,4,5,5,974,0,0.19480000,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=487;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=487;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_uniform_rate0p10_adaptive_l16_t5_always.csv
baseline_link,uniform,stage4_rate0.20,/home/hj/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.20_rate0p200_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5005,0.19760000,988,988,0,0,0,0,0.00000000,988,988,0,988,0,16796,1976,31616,17.000000,32.000000,0.50000000,0.0312500000,0.19740260,986,4.297571,9,4,5,7,1976,0,0.39480519,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=988;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=988;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_uniform_rate0p20_baseline_l16_t5_always.csv
adaptive_link,uniform,stage4_rate0.20,/home/hj/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.20_rate0p200_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5005,0.19760000,988,988,0,0,0,0,0.00000000,988,988,0,988,0,17784,1976,31616,18.000000,32.000000,0.50000000,0.0312500000,0.19740260,986,4.297571,9,4,5,7,1976,0,0.39480519,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=988;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=988;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_uniform_rate0p20_adaptive_l16_t5_always.csv
baseline_link,uniform,stage4_rate0.30,/home/hj/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.30_rate0p300_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5005,0.29680000,1484,1483,1,0,0,1,0.00067385,1483,1483,0,1483,0,25211,2966,47456,17.000000,32.000000,0.50000000,0.0312500000,0.29630370,1480,4.753203,25,4,7,10,2966,0,0.59260739,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=1483;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=1484;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_uniform_rate0p30_baseline_l16_t5_always.csv
adaptive_link,uniform,stage4_rate0.30,/home/hj/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.30_rate0p300_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5005,0.29680000,1484,1483,1,0,0,1,0.00067385,1483,1483,0,1483,0,26694,2966,47456,18.000000,32.000000,0.50000000,0.0312500000,0.29630370,1480,4.753203,25,4,7,10,2966,0,0.59260739,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=1483;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=1484;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_uniform_rate0p30_adaptive_l16_t5_always.csv
baseline_link,uniform,stage4_rate0.40,/home/hj/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.40_rate0p400_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5005,0.40040000,2002,1998,4,0,0,4,0.00199800,1998,1998,0,1998,0,33966,3996,63936,17.000000,32.000000,0.50000000,0.0312500000,0.39920080,1996,6.069570,46,5,13,21,3996,0,0.79840160,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=1998;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=2002;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_uniform_rate0p40_baseline_l16_t5_always.csv
adaptive_link,uniform,stage4_rate0.40,/home/hj/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.40_rate0p400_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5005,0.40040000,2002,1998,4,0,0,4,0.00199800,1998,1998,0,1998,0,35964,3996,63936,18.000000,32.000000,0.50000000,0.0312500000,0.39920080,1996,6.069570,46,5,13,21,3996,0,0.79840160,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=1998;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=2002;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_uniform_rate0p40_adaptive_l16_t5_always.csv
